,,,,,,,,,,,,,,居酒屋,日本料理・郷土料理,すし・魚料理・シーフード,鍋,焼肉・ホルモン,焼き鳥・肉料理・串料理,和食,お好み焼き・粉物,ラーメン・麺料理,中華,イタリアン・フレンチ,洋食,欧米・各国料理,カレー,アジア・エスニック料理,オーガニック・創作料理,ダイニングバー・バー・ビアホール,お酒,カフェ・スイーツ,宴会・カラオケ・エンターテイメント,ファミレス・ファーストフード,その他の料理
106,a611800,貸切パーティースペース Ｔ・Ａ・Ｍ・Ａ 青山,35.668836,139.723439,〒107-0061 東京都港区北青山2-3-1 Ｃ Ｉ ＰＬＡＺＡ 2F,http://mobile.gnavi.co.jp/shop/a611800/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/hde918km0000/t_002p.jpg,http://uds.gnst.jp/rest/img/hde918km0000/t_002q.jpg,月～日 11:30～24:00((貸切のみ)ランチタイムはクレジットカードのご利用は出来ません。),不定休日あり<BR>※(貸切営業は無休),"{'note': {}, 'line': '地下鉄銀座線', 'walk': '2', 'station': '外苑前駅', 'station_exit': '並木4番出口'}",4500,2058,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
107,g085703,ベニーレ ベニーレ 表参道原宿,35.665892,139.709378,〒150-0001 東京都渋谷区神宮前4-31-10 YMスクウェア原宿5～6F,http://mobile.gnavi.co.jp/shop/g085703/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/fczgdc0r0000/t_003w.jpg,{}, ランチ：11:30～15:30<BR>月～土・祝前日 ディナー：17:00～23:00<BR>日・祝日 ディナー：17:00～22:30,年中無休,"{'note': {}, 'line': 'ＪＲ', 'walk': '5', 'station': '原宿駅', 'station_exit': {}}",4000,1829,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
108,b181500,yao ,35.670192,139.711167,〒150-0001 東京都渋谷区神宮前2-33-12 ビラビアンカ1F,http://mobile.gnavi.co.jp/shop/b181500/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/843xxkuc0000/t_008p.jpg,http://uds.gnst.jp/rest/img/843xxkuc0000/t_008q.jpg,月～金 11:30～23:00(L.O.22:00、ドリンクL.O.22:30)<BR>土・日・祝 12:00～23:00(L.O.22:00、ドリンクL.O.22:30),無,"{'note': {}, 'line': 'ＪＲ', 'walk': '10', 'station': '原宿駅', 'station_exit': '竹下口'}",3000,1372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
109,e372900,渋谷WOMBLOUNGE ,35.655153,139.698208,〒150-0044 東京都渋谷区円山町2-16 スタジオアリアス1F,http://mobile.gnavi.co.jp/shop/e372900/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/jm13jm3n0000/t_001t.jpg,http://uds.gnst.jp/rest/img/jm13jm3n0000/t_001u.jpg,月～日 11:00～24:00,不定休日あり<BR>※(イベントパーティに準ずる),"{'note': {}, 'line': 'ＪＲ', 'walk': '8', 'station': '渋谷駅', 'station_exit': {}}",3000,1372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
110,g085708,ベニーレガーデン 表参道原宿 ,35.665806,139.709472,〒150-0001 東京都渋谷区神宮前4-31-10 YMスクウェア原宿5F,http://mobile.gnavi.co.jp/shop/g085708/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/r6zbdbt30000/t_003c.jpg,http://uds.gnst.jp/rest/img/r6zbdbt30000/t_0035.jpg,月～土・祝前日 ディナー：16:00～23:00<BR>日・祝日 ディナー：16:00～22:30,年中無休,"{'note': {}, 'line': '地下鉄千代田線', 'walk': '1', 'station': '明治神宮前駅', 'station_exit': {}}",5000,2286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
111,g045624,ＤＥＮ Ｒｏｋｕｅｎ－Ｔｅｉ ,35.658692,139.70215,〒150-0042 東京都渋谷区宇田川町15-１ PARCO1 8F,http://mobile.gnavi.co.jp/shop/g045624/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/ne6773t70000/t_00pj.jpg,http://uds.gnst.jp/rest/img/ne6773t70000/t_00p0.jpg,月～日 ランチ：11:00～16:00(L.O.15:30)<BR>月～木・日 ディナー：17:00～23:30(L.O.22:30、ドリンクL.O.23:00)<BR>金・土・祝前日 17:00～24:00(L.O.22:30、ドリンクL.O.23:00),年中無休<BR>※（PARCO定休日に準ずる）,"{'note': {}, 'line': '地下鉄', 'walk': '5', 'station': '渋谷駅', 'station_exit': '3番出口'}",4000,1829,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,ge6p700,熟成魚×個室 うらら 渋谷宮益坂,35.657561,139.708653,〒150-0002 東京都渋谷区渋谷1-6-7 ICIビルB1,http://mobile.gnavi.co.jp/shop/ge6p700/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/9x68220y0000/t_006b.jpg,http://uds.gnst.jp/rest/img/9x68220y0000/t_006k.jpg,月～金 ランチ：11:30～14:00(L.O.14:00)<BR>月～土 ディナー：17:00～23:00(L.O.22:00、ドリンクL.O.22:00)(渋谷駅東口 宮益坂 個室 居酒屋 会社宴会 接待 貸切 パーティー 飲み会 打ち上げ 誕生日 記念日 宴会 デート 歓迎会 送別会 同窓会 謝恩会 各種パーティーなどお気軽にご相談ください),毎週日曜日 祝日<BR>※渋谷駅東口 宮益坂 個室 居酒屋 会社宴会 接待 貸切 パーティー 飲み会 打ち上げ 誕生日 記念日 宴会 デート 歓迎会 送別会 同窓会 謝恩会 各種パーティーなどお気軽にご相談ください,"{'note': {}, 'line': 'ＪＲ', 'walk': '5', 'station': '渋谷駅', 'station_exit': '東口'}",5000,2286,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,gd7p700,ura 庭 ,35.657419,139.701344,〒150-0042 東京都渋谷区宇田川町30-2 ケゼットハウス3F,http://mobile.gnavi.co.jp/shop/gd7p700/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/nrn8kjn00000/t_009b.jpg,{},月～木・日・祝日 ランチ・ディナー：12:00～24:00(※第3月曜定休)<BR>金・土・祝前日 ランチ・ディナー：12:00～24:00,第3月曜日<BR>※第３月曜日が祝日の場合、営業いたします。  その場合、次の日の第3火曜日をお休みいたします。,"{'note': {}, 'line': 'ＪＲ', 'walk': '5', 'station': '渋谷駅', 'station_exit': 'ハチ公口'}",3000,1372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
114,gccb205,天空渋谷ビアガーデン 渋谷SKYJETスカイジェット ,35.654339,139.707822,〒150-0002 東京都渋谷区渋谷3-7-5 大石ビル4F,http://mobile.gnavi.co.jp/shop/gccb205/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/47zan4000000/t_000c.jpg,http://uds.gnst.jp/rest/img/47zan4000000/t_000g.jpg,土・日・祝 11:00～24:00(■土日祝限定営業！■  □平日は屋内でのご利用となります□),無,"{'note': {}, 'line': '地下鉄副都心線', 'walk': '3', 'station': '渋谷駅', 'station_exit': '16b出口'}",3500,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
115,geur500,真源 ,35.660681,139.700061,〒150-0042 東京都渋谷区宇田川町6-11 原宿パークマンションB1,http://mobile.gnavi.co.jp/shop/geur500/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/1u60313m0000/t_000a.jpg,http://uds.gnst.jp/rest/img/1u60313m0000/t_000d.jpg, 17:00～24:00,毎週日曜日 祝日,"{'note': {}, 'line': '地下鉄半蔵門線', 'walk': '8', 'station': '渋谷駅', 'station_exit': '3a出口'}",8000,3658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
116,ge8f300,渋谷 貸切パーティースペース DAIA ,35.656819,139.699136,〒150-0043 東京都渋谷区道玄坂2-23-12 フォンティスビルB1,http://mobile.gnavi.co.jp/shop/ge8f300/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/1u8eenrm0000/t_002t.jpg,http://uds.gnst.jp/rest/img/1u8eenrm0000/t_002u.jpg, 24時間営業,無,"{'note': {}, 'line': 'ＪＲ', 'walk': '5', 'station': '渋谷駅', 'station_exit': '東口・ハチ公口'}",2500,1143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
117,a058438,隠れ家個室 茜屋 ～AKANEYA～ 渋谷店,35.656786,139.707125,〒150-0002 東京都渋谷区渋谷1-12-7 CRVITE 2F,http://mobile.gnavi.co.jp/shop/a058438/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/hwjj3s140000/t_00e7.jpg,http://uds.gnst.jp/rest/img/hwjj3s140000/t_00e8.jpg,月～金 17:00～23:30<BR>土・日・祝 16:30～23:30、ランチ：12:00～16:00<BR>第1月～日 12:00～24:00(※GW期間は12:00～OPEN!!),無,"{'note': {}, 'line': 'ＪＲ', 'walk': '2', 'station': '渋谷駅', 'station_exit': {}}",3000,1372,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,gawn400,ASTERISK 1103 ,35.657319,139.708369,〒150-0002 東京都渋谷区渋谷1-10-3 スタープラザ青山1F,http://mobile.gnavi.co.jp/shop/gawn400/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/732zxnpx0000/t_001d.jpg,http://uds.gnst.jp/rest/img/732zxnpx0000/t_001e.jpg, 11:30～24:00(日曜、祝日は閉店時間が早まる事がありますのでご了承下さい。),無,"{'note': {}, 'line': 'ＪＲ', 'walk': '5', 'station': '渋谷駅', 'station_exit': {}}",3500,1600,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
119,g466937,貸切パーティースペース グランデ 渋谷,35.657914,139.703417,〒150-0042 東京都渋谷区宇田川町20-15 ヒューマックスパビリオン渋谷公園通りB2・B1,http://mobile.gnavi.co.jp/shop/g466937/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/jymkzg2h0000/t_004w.jpg,{},月～日・祝前日・祝日 12:00～翌6:00(※営業時間外の撮影、イベントなどのご利用を検討されている方はお問い合わせください。  ご要望、ご予算に応じたオリジナルプランをご提案させていただきます。),無,"{'note': {}, 'line': 'ＪＲ', 'walk': '2', 'station': '渋谷駅', 'station_exit': 'ハチ公口'}",4000,1829,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
120,g753356,宮崎県日南市 塚田農場 渋谷道玄坂店（３号店）,35.655542,139.700928,〒150-0043 東京都渋谷区道玄坂2-10-12,http://mobile.gnavi.co.jp/shop/g753356/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/109emrg70000/t_00a5.jpg,http://uds.gnst.jp/rest/img/109emrg70000/t_00a6.jpg,月～木・土・日・祝前日・祝日 17:00～24:00(L.O.23:00)<BR>金 17:00～翌1:00(L.O.24:00),無,"{'note': {}, 'line': 'ＪＲ', 'walk': '3', 'station': '渋谷駅', 'station_exit': 'ハチ公口'}",4000,1829,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,gdty700,和 ゆずか ,35.651661,139.703494,〒150-0031 東京都渋谷区桜丘町22-22,http://mobile.gnavi.co.jp/shop/gdty700/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/9zb89za90000/t_000z.jpg,{},月～土 ディナー：18:00～22:30(L.O.21:30)<BR>月～土 ランチ：12:00～13:30(ランチは現金のみとさせていただきます。),毎週日曜日<BR>※祝日は不定休  ４名様以上、もしくは宴会貸切などは応相談,"{'note': {}, 'line': 'ＪＲ', 'walk': '5', 'station': '渋谷駅', 'station_exit': {}}",10000,4572,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,p864033,くいもの屋わん 渋谷桜丘店,35.653225,139.704853,〒150-0031 東京都渋谷区桜丘町15-19 第八東都ビル3～5F,http://mobile.gnavi.co.jp/shop/p864033/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/ce6feh0h0000/t_01u5.jpg,http://uds.gnst.jp/rest/img/ce6feh0h0000/t_02p5.jpg,月～木・日 16:00～翌1:00(L.O.24:30、ドリンクL.O.24:30)<BR>金～日・祝前日 16:00～翌3:00(L.O.2:30、ドリンクL.O.2:30),無<BR>年末年始（2013年12月31日）<BR>※12/31のみ店休とさせて頂きます（文化村通り店・スペイン坂店は営業しております）  年始の営業時間は次の通りです。1/1＝16:00-23:00 1/2～1/9＝16:00-翌1:00,"{'note': {}, 'line': 'ＪＲ', 'walk': '3', 'station': '渋谷駅', 'station_exit': {}}",2800,1280,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,gdjk600,魚きんめ 渋谷,35.655783,139.701642,〒150-0043 東京都渋谷区道玄坂2-6-14 HYビル2F,http://mobile.gnavi.co.jp/shop/gdjk600/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/fcrnmtyb0000/t_0000.jpg,{}, 17:00～24:00(L.O.23:00)(お早目の時間帯だと比較的お席に余裕がございます。),年中無休,"{'note': {}, 'line': 'ＪＲ', 'walk': '2', 'station': '渋谷駅', 'station_exit': 'ハチ公口'}",5000,2286,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,gdr2000,創作居酒屋 渋谷栖 －すみか－ 文化村通り店,35.657033,139.700358,〒150-0043 東京都渋谷区道玄坂2-25-10 ベニー清建ビル4F,http://mobile.gnavi.co.jp/shop/gdr2000/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/f9uxww050000/t_002a.jpg,http://uds.gnst.jp/rest/img/f9uxww050000/t_0001.jpg,金・土・祝前日 11:00～翌5:00<BR>月～木・日 11:00～24:00,無,"{'note': {}, 'line': 'ＪＲ', 'walk': '3', 'station': '渋谷駅', 'station_exit': {}}",3000,1372,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,g384413,ピッツァ＆ワインバール ヴェルデ ～ VERDE ～ 渋谷店,35.654089,139.706792,〒150-0002 東京都渋谷区渋谷3-18-5 サトウエステートビル4F,http://mobile.gnavi.co.jp/shop/g384413/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/dgy86ks00000/t_0089.jpg,http://uds.gnst.jp/rest/img/dgy86ks00000/t_007g.jpg, ディナー：17:00～翌5:00(L.O.4:30)<BR>月～日 ランチ：11:00～15:00<BR>月～日 ランチ・カフェ：15:00～17:00,無,"{'note': {}, 'line': 'ＪＲ', 'walk': '2', 'station': '渋谷駅', 'station_exit': '東口'}",2770,1267,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
126,b441518,igu＆peace ,35.654786,139.702706,〒150-0002 東京都渋谷区渋谷道玄坂1-5-2 渋谷SEDEビル4F,http://mobile.gnavi.co.jp/shop/b441518/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/gsn88yu50000/t_0036.jpg,http://uds.gnst.jp/rest/img/gsn88yu50000/t_0037.jpg, ディナー：18:00～翌3:00(L.O.2:00、ドリンクL.O.2:00)(日・祝は17～24時（LO23時）),無,"{'note': {}, 'line': 'ＪＲ', 'walk': '2', 'station': '渋谷駅', 'station_exit': 'ハチ公口'}",3000,1372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
127,ga25500,呑兵衛 ,35.655544,139.702228,〒150-0043 東京都渋谷区道玄坂2-6-7 TビルB1,http://mobile.gnavi.co.jp/shop/ga25500/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/gh7bnhxk0000/t_001z.jpg,http://uds.gnst.jp/rest/img/gh7bnhxk0000/t_0020.jpg, 18:00～翌9:00(L.O.8:00)(日・月曜日のみ朝５時まで営業(L.O. 4:00)),無,"{'note': {}, 'line': 'ＪＲ', 'walk': '1', 'station': '渋谷駅', 'station_exit': {}}",3000,1372,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,g666205,肉・おばんざい かぶ金とん 渋谷桜丘店,35.652689,139.70625,〒150-0031 東京都渋谷区桜丘町3-12,http://mobile.gnavi.co.jp/shop/g666205/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/gn167ep10000/t_0001.jpg,http://uds.gnst.jp/rest/img/gn167ep10000/t_0002.jpg,月～木・日・祝日 17:00～翌1:00(L.O.24:30)<BR>金・土・祝前日 17:00～翌3:00(L.O.2:30),不定休日あり,"{'note': {}, 'line': 'ＪＲ', 'walk': '5', 'station': '渋谷駅', 'station_exit': '西口'}",3500,1600,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,b804400,表参道 bamboo ,35.663461,139.711358,〒150-0001 東京都渋谷区神宮前5-8-8,http://mobile.gnavi.co.jp/shop/b804400/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/41n7teb20000/t_00b6.jpg,http://uds.gnst.jp/rest/img/41n7teb20000/t_004m.jpg,月～日 11:00～22:30<BR>月～日 ディナー：17:00～22:30(L.O.21:30)<BR>月～日 17:00～21:00((コース料理)),無,"{'note': {}, 'line': '地下鉄', 'walk': '3', 'station': '表参道駅', 'station_exit': 'A1番出口'}",6000,2743,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
130,ga3v260,居酒屋 ◎NIJYU－MARU 渋谷メトロ宮下公園前店 ,35.658217,139.705839,〒150-0002 東京都渋谷区渋谷1-16-14 メトロプラザ1F,http://mobile.gnavi.co.jp/shop/ga3v260/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/1w4t4ynr0000/t_00l4.jpg,http://uds.gnst.jp/rest/img/1w4t4ynr0000/t_00l5.jpg, ランチ：11:00～17:00(L.O.16:00)(1/1はお休みとなります。)、ディナー：16:00～23:00(L.O.22:00、ドリンクL.O.22:30),無<BR>※ビル休除く,"{'note': {}, 'line': 'ＪＲ', 'walk': '1', 'station': '渋谷駅', 'station_exit': {}}",2500,1143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,p251800,ジャルダン・ド・ルセーヌ ,35.667928,139.707267,〒150-0001 東京都渋谷区神宮前1-16-3,http://mobile.gnavi.co.jp/shop/p251800/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/1v7t6ujc0000/t_0055.jpg,http://uds.gnst.jp/rest/img/1v7t6ujc0000/t_0056.jpg,火～日 ランチ：11:30～15:00(L.O.14:30)<BR>火～日 ティー：13:00～18:00(L.O.17:30)<BR>火～日 ディナー：18:00～22:00(L.O.21:30)(※コースの場合はL.O20時00分迄),毎週月曜日<BR>※(月曜日が祝日の場合は火曜日定休),"{'note': {}, 'line': 'ＪＲ山手線', 'walk': '2', 'station': '原宿駅', 'station_exit': '竹下口'}",5000,2286,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
132,g086283,北の味紀行と地酒　北海道 渋谷駅前店,35.656992,139.705189,〒150-0002 東京都渋谷区渋谷1-24-10 渋谷全線座ビル3F,http://mobile.gnavi.co.jp/shop/g086283/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/4a0vgyeh0000/t_056o.jpg,http://uds.gnst.jp/rest/img/4a0vgyeh0000/t_056p.jpg,月～金 ランチ：11:30～14:30(L.O.14:00)(平日のみ(土・日・祝日は除く)営業時間外の昼宴会などお気軽にお問合せ下さい！)<BR>金・土・祝前日 16:00～翌5:00(L.O.4:00)<BR>水・木 16:00～翌2:00(L.O.1:00)<BR>月・火・日・祝日 16:00～24:00(L.O.23:30),不定休日あり,"{'note': {}, 'line': 'ＪＲ', 'walk': '1', 'station': '渋谷駅', 'station_exit': '宮益坂口'}",3500,1600,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,ga1t403,原宿Solomons～ソロモンズ～ ,35.669406,139.7117,〒150-0001 東京都渋谷区神宮前2-31-20 アコルデ神宮前,http://mobile.gnavi.co.jp/shop/ga1t403/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/dvz9rf450000/t_005a.jpg,http://uds.gnst.jp/rest/img/dvz9rf450000/t_00ep.png,月～金 ディナー：18:00～24:00(L.O.23:00、ドリンクL.O.23:30)<BR>土・日・祝 ディナー：17:00～24:00(L.O.23:00、ドリンクL.O.23:30)<BR>月～日・祝前日・祝日 ランチ：11:30～15:00(L.O.14:30),年中無休,"{'note': {}, 'line': '地下鉄', 'walk': '5', 'station': '明治神宮前駅', 'station_exit': {}}",3500,1600,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
134,e686520,海鮮居酒屋 はなの舞 渋谷道玄坂Ｇスクエアー店,35.654639,139.699422,〒150-0043 東京都渋谷区道玄坂2-11-1 GSQUARE B1・1F,http://mobile.gnavi.co.jp/shop/e686520/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/fg0za60y0000/t_012x.jpg,http://uds.gnst.jp/rest/img/fg0za60y0000/t_00ve.jpg,月～金 ランチ：11:30～14:00<BR>月～木 ディナー：16:00～24:00<BR>金 16:00～翌5:00<BR>土 16:00～翌3:00<BR>日・祝日 16:00～24:00,無,"{'note': {}, 'line': 'ＪＲ', 'walk': '3', 'station': '渋谷駅', 'station_exit': {}}",2700,1235,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,e849914,肉とクラフトビール やまもと 渋谷店,35.654922,139.702578,〒150-0043 東京都渋谷区道玄坂1-5-9 レンガビル4F,http://mobile.gnavi.co.jp/shop/e849914/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,{},http://uds.gnst.jp/rest/img/sm20hmee0000/t_00ch.png,金～日・祝前日・祝日 14:00～翌5:00<BR>月～木 15:00～24:00,無,"{'note': {}, 'line': 'ＪＲ', 'walk': '1', 'station': '渋谷駅', 'station_exit': {}}",2980,1363,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,b840503,渋谷貸切パーティー ANTHEM【アンセム】,35.653969,139.700183,〒150-0043 東京都渋谷区道玄坂1-17-12 野々ビル4F,http://mobile.gnavi.co.jp/shop/b840503/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/1xfb65gx0000/t_0000.jpg,http://uds.gnst.jp/rest/img/1xfb65gx0000/t_0001.jpg,月～日 12:00～24:00(L.O.23:45),不定休日あり,"{'note': {}, 'line': 'ＪＲ', 'walk': '5', 'station': '渋谷駅', 'station_exit': 'ハチ公口'}",2980,1363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
137,b915002,コックマン ,35.656725,139.700811,〒150-0043 東京都渋谷区道玄坂2-25-14 1F,http://mobile.gnavi.co.jp/shop/b915002/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/jewwszm30000/t_0043.jpg,http://uds.gnst.jp/rest/img/jewwszm30000/t_0044.jpg,月～金 ランチ：11:30～14:00、ディナー：17:30～24:00<BR>土・日・祝日 ディナー：17:00～24:00,不定休日あり,"{'note': {}, 'line': 'ＪＲ', 'walk': '3', 'station': '渋谷駅', 'station_exit': {}}",3200,1463,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
138,gee0700,Bistro KAKIYA 青山店,35.656686,139.711197,〒150-0002 東京都渋谷区渋谷2-6-11 花門ビル1F,http://mobile.gnavi.co.jp/shop/gee0700/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/rgc7r3u00000/t_0004.jpg,{},月～金 ディナー：17:30～24:00(L.O.23:00)、ランチ：11:30～14:00(L.O.13:30)<BR>土・日 ディナー：17:00～23:00(L.O.22:00、ドリンクL.O.22:30)<BR>祝日 ディナー：17:00～23:00(L.O.22:00、ドリンクL.O.22:30)<BR>土・日 ランチ：12:00～14:30(L.O.14:00),無,"{'note': {}, 'line': 'ＪＲ', 'walk': '7', 'station': '渋谷駅', 'station_exit': '宮益坂口'}",5000,2286,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
139,a161505,中華火鍋 食べ放題 南国亭 渋谷一号店,35.651394,139.710836,〒150-0011 東京都渋谷区東1-26-20 B1,http://mobile.gnavi.co.jp/shop/a161505/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/s0n70mtw0000/t_00el.jpg,http://uds.gnst.jp/rest/img/s0n70mtw0000/t_00em.jpg,月～日 11:00～23:00,無,"{'note': {}, 'line': 'ＪＲ', 'walk': '5', 'station': '渋谷駅', 'station_exit': '新南口'}",3000,1372,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
