,0,1,2,3,4,5,6,7,8,9,10
443,Sign 外苑前,35.667247,139.720208,http://mobile.gnavi.co.jp/shop/p810300/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/7jjfjkhg0000/t_00c0.jpg, 11:00～23:00(L.O.22:30、ドリンクL.O.22:30),無,"{'line': '地下鉄銀座線', 'station_exit': '3番出口', 'walk': '1', 'note': {}, 'station': '外苑前駅'}",1200,900,"['ダイニングバー', 'ワイン']"
444,原宿Solomons～ソロモンズ～ ,35.669406,139.7117,http://mobile.gnavi.co.jp/shop/ga1t403/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/dvz9rf450000/t_005a.jpg,月～金 ディナー：18:00～24:00(L.O.23:00、ドリンクL.O.23:30)<BR>土・日・祝 ディナー：17:00～24:00(L.O.23:00、ドリンクL.O.23:30)<BR>月～日・祝前日・祝日 ランチ：11:30～15:00(L.O.14:30),年中無休,"{'line': '地下鉄', 'station_exit': {}, 'walk': '5', 'note': {}, 'station': '明治神宮前駅'}",3500,1000,"['イタリアン(イタリア料理)', '居酒屋']"
445,四川風ビアホール 龍府 ,35.668139,139.723861,http://mobile.gnavi.co.jp/shop/g660901/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/c84rtyy60000/t_007d.jpg,月～金 11:30～15:00、17:30～23:30<BR>土・日・祝 11:30～15:00、17:30～22:00,年中無休,"{'line': '地下鉄銀座線', 'station_exit': {}, 'walk': '3', 'note': {}, 'station': '外苑前駅'}",2000,900,"['中華料理', '北京料理']"
446,木村屋本店 渋谷桜丘町,35.652458,139.701294,http://mobile.gnavi.co.jp/shop/gc6m226/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/8debnzb60000/t_0001.jpg, ディナー：17:00～24:00(L.O.23:00、ドリンクL.O.23:30)(土、祝は15:00よりオープン致します。  祝は～23：00閉店。)<BR>月～土 ランチ：11:30～15:00(L.O.14:30)(祝はランチお休み頂きます。土曜日は、ランチ閉店14：30（L.O14：00）),GW（2015年5月3日～2015年5月6日）<BR>※日曜日定休になります。月曜祝日の場合は日曜日営業の月曜日休み。,"{'line': 'ＪＲ', 'station_exit': {}, 'walk': '5', 'note': {}, 'station': '渋谷駅'}",3200,{},"['もつ鍋', '居酒屋']"
447,サプライズ代行ダイニング VERTEX ‐バーテックス‐,35.656739,139.703347,http://mobile.gnavi.co.jp/shop/p463500/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/dy8k2wp50000/t_00e7.png,月～日 18:00～翌5:00(L.O.4:00),無<BR>年末年始（2016年1月1日～2016年1月4日）,"{'line': 'ＪＲ', 'station_exit': 'ハチ公口', 'walk': '2', 'note': {}, 'station': '渋谷駅'}",2900,{},"['パーティールーム・スペース', {'@attributes': {'order': '1'}}]"
448,貸切パーティー＆個室ダイニング ajito luxe 渋谷,35.654358,139.702592,http://mobile.gnavi.co.jp/shop/a889201/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/18am477u0000/t_00h0.jpg,月～木 ディナー・バー：17:30～翌3:00(L.O.2:00、ドリンクL.O.2:30)<BR>金・土・祝前日 ディナー・バー：17:30～翌5:00(L.O.4:00、ドリンクL.O.4:30)<BR>日・祝日 ディナー・バー：17:30～24:00(L.O.23:00、ドリンクL.O.23:30)(予約受付時間に関しましては昼12時～承っております。お気軽にご連絡ください。  ※店内の雰囲気はこちら→https://goo.gl/maps/nlXRi),※年末年始（12月31日～1月4日）,"{'line': 'ＪＲ', 'station_exit': {}, 'walk': '3', 'note': {}, 'station': '渋谷駅'}",3500,{},"['ダイニングバー', 'パーティールーム・スペース']"
449,めがみや 居酒屋 炭火焼だいにんぐ,35.659511,139.712133,http://mobile.gnavi.co.jp/shop/ge27000/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/fgy20gpx0000/t_0000.png,月～金 ランチ：11:00～15:00、ディナー：17:00～23:00<BR>土・日・祝 11:00～23:00(宴会コースは、平日は17時から、土日は15時から受付),無,"{'line': '地下鉄千代田線', 'station_exit': {}, 'walk': '2', 'note': {}, 'station': '表参道駅'}",2500,900,"['居酒屋', {'@attributes': {'order': '1'}}]"
450,四十八漁場 渋谷桜丘店,35.654014,139.704714,http://mobile.gnavi.co.jp/shop/g753374/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/an2dpx4p0000/t_013z.jpg,月～木 17:00～24:00(L.O.23:00、ドリンクL.O.23:30)<BR>金 17:00～翌1:00(L.O.24:00、ドリンクL.O.24:30)<BR>土 16:00～24:00(L.O.23:00、ドリンクL.O.23:30)<BR>日・祝日 16:00～23:00(L.O.22:00、ドリンクL.O.22:30),無<BR>※（1/1はお休み致します）,"{'line': 'ＪＲ', 'station_exit': {}, 'walk': '3', 'note': {}, 'station': '渋谷駅'}",4000,{},"['居酒屋', '刺身・海鮮料理']"
451,くいもの屋わん 渋谷桜丘店,35.653225,139.704853,http://mobile.gnavi.co.jp/shop/p864033/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/ce6feh0h0000/t_01u5.jpg,月～木・日 16:00～翌1:00(L.O.24:30、ドリンクL.O.24:30)<BR>金～日・祝前日 16:00～翌3:00(L.O.2:30、ドリンクL.O.2:30),無<BR>年末年始（2013年12月31日）<BR>※12/31のみ店休とさせて頂きます（文化村通り店・スペイン坂店は営業しております）  年始の営業時間は次の通りです。1/1＝16:00-23:00 1/2～1/9＝16:00-翌1:00,"{'line': 'ＪＲ', 'station_exit': {}, 'walk': '3', 'note': {}, 'station': '渋谷駅'}",2800,{},"['居酒屋', {'@attributes': {'order': '1'}}]"
452,個室・熟成牛会席 ワビサーレ 渋谷,35.6568,139.709983,http://mobile.gnavi.co.jp/shop/gc9z000/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/a49vwc260000/t_006t.jpg, ランチ：11:30～14:30(L.O.13:30)(前日までのご予約のみご用意させて頂いております。)、ディナー：17:00～23:30(L.O.23:00)(ご予約受付時間、２３：0０までとさせていただきます。),※日曜、祝日（連休の際は最終日がお休みとなります）お問い合わせください。※お顔合わせ・冠婚葬祭・同窓会などの団体様のご予約に限り休日も営業致します。,"{'line': 'ＪＲ', 'station_exit': '宮益坂口', 'walk': '6', 'note': {}, 'station': '渋谷駅'}",12000,4000,"['会席料理', 'ステーキ']"
453,PIZZA＆SPORTS DIME ,35.655431,139.711581,http://mobile.gnavi.co.jp/shop/gcpv400/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/5fb983nb0000/t_000o.jpg,月～日・祝前日・祝日 ディナー：19:00～翌3:00,無,"{'line': 'ＪＲ', 'station_exit': {}, 'walk': '7', 'note': {}, 'station': '渋谷駅'}",3500,{},"['イタリアン(イタリア料理)', '居酒屋']"
454,相席屋 渋谷南口店,35.654678,139.702325,http://mobile.gnavi.co.jp/shop/a866934/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/31wtb74n0000/t_000e.jpg,月～土・祝前日 17:00～翌5:00(L.O.4:00)<BR>日・祝日 17:00～翌5:00(L.O.4:00)(  ※お電話でのご予約は承っておりませんのでご了承ください。),年中無休,"{'line': 'ＪＲ', 'station_exit': '南口', 'walk': '1', 'note': {}, 'station': '渋谷駅'}",3000,{},"['居酒屋', '宴会場']"
455,鉄板焼 いちか ,35.648503,139.713194,http://mobile.gnavi.co.jp/shop/b683001/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/a3tjmfmt0000/t_0040.jpg,月～金 ディナー：18:00～24:00<BR>土 ディナー：17:00～23:00<BR>日・祝日 ディナー：17:00～22:00(不定休日あり),不定休日あり,"{'line': 'ＪＲ', 'station_exit': '西口', 'walk': '8', 'note': {}, 'station': '恵比寿駅'}",15000,{},"['鉄板焼き', {'@attributes': {'order': '1'}}]"
456,渋谷 鉄板焼き 七海亭 ,35.655367,139.701547,http://mobile.gnavi.co.jp/shop/ge2v100/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/agg9zjky0000/t_004f.png,月～土 ランチ：11:30～15:00(L.O.14:00)<BR>月～土 ディナー：18:00～23:30(L.O.22:30),毎週日曜日<BR>年末年始（2016年1月1日～2016年1月3日）,"{'line': 'ＪＲ', 'station_exit': {}, 'walk': '1', 'note': {}, 'station': '渋谷駅'}",4980,1000,"['鉄板焼き', '刺身・海鮮料理']"
457,さかな居酒屋 魚貫 UOKAN ,35.657919,139.702133,http://mobile.gnavi.co.jp/shop/a237500/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/kf0ew6d30000/t_006g.jpg,月～金 11:30～15:00(L.O.14:30)、18:00～23:30(L.O.22:30)<BR>土・日・祝 ランチ：11:30～16:00、ディナー：16:00～23:30,無,"{'line': 'ＪＲ', 'station_exit': {}, 'walk': '5', 'note': {}, 'station': '渋谷駅'}",3200,950,"['刺身・海鮮料理', {'@attributes': {'order': '1'}}]"
458,全席個室 湊一や 渋谷道玄坂店,35.655561,139.701744,http://mobile.gnavi.co.jp/shop/g747781/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/rs8kn5vz0000/t_006j.jpg,月～日 17:00～23:30(※営業時間前早宴会可),年中無休,"{'line': 'ＪＲ', 'station_exit': '中央口', 'walk': '3', 'note': {}, 'station': '渋谷駅'}",3500,{},"['居酒屋', {'@attributes': {'order': '1'}}]"
459,焼肉・薬膳 雑草家 ,35.663489,139.723247,http://mobile.gnavi.co.jp/shop/gcvz301/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/43xh68vu0000/t_000m.jpg,火～土 ディナー：17:30～24:00(L.O.23:00)<BR>日・祝日 ディナー：17:00～23:00(L.O.22:00),毎週月曜日,"{'line': '地下鉄銀座線', 'station_exit': '1b出口', 'walk': '7', 'note': {}, 'station': '外苑前駅'}",8000,{},"['焼肉', '韓国料理']"
460,宴会道場 黒木屋 渋谷109前,35.656583,139.702486,http://mobile.gnavi.co.jp/shop/a616549/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/6tmp13330000/t_00ha.jpg,金・祝前日 15:00～24:00(L.O.23:00、ドリンクL.O.23:30)<BR>月～木・土・日・祝日 15:00～24:00(L.O.23:00、ドリンクL.O.23:30),※年始,"{'line': 'ＪＲ', 'station_exit': 'ハチ公口', 'walk': '1', 'note': {}, 'station': '渋谷駅'}",3500,{},"['居酒屋', '焼肉']"
461,渋谷 秀 ,35.653347,139.700539,http://mobile.gnavi.co.jp/shop/gddc700/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/mrtj30f90000/t_007a.jpg,月～金 17:00～23:00(L.O.22:00、ドリンクL.O.22:30)(【土曜日】は２２時閉店・２１時ラストオーダーとなります)、11:30～14:30(L.O.14:00)(  【土曜日】は17：00～の営業となります。昼のご宴会等は10名様から御相談させていただきますので、お問い合わせください),毎週日曜日 祝日<BR>※※ 5月16日(月)はランチタイム(11:30～14:30)のみの営業とさせていただきます。,"{'line': 'ＪＲ', 'station_exit': {}, 'walk': '4', 'note': {}, 'station': '渋谷駅'}",4000,850,"['居酒屋', '郷土料理']"
462,博多串焼もつ鍋 よだれ屋 渋谷桜丘町,35.652986,139.704286,http://mobile.gnavi.co.jp/shop/a116903/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/d8t28hnj0000/t_003j.jpg,月～土 18:00～翌2:00(L.O.1:30)<BR>日・祝日 17:00～24:00(L.O.23:30),無,"{'line': 'ＪＲ', 'station_exit': '南口', 'walk': '5', 'note': {}, 'station': '渋谷駅'}",3000,{},"['焼き鳥・肉料理・串料理 その他', '和食 その他']"
463,STaiR【ステア】 表参道,35.660636,139.71645,http://mobile.gnavi.co.jp/shop/e940519/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/jp8a2ker0000/t_005z.jpg, カフェ：15:00～18:00(L.O.18:00)、ディナー：18:00～23:30(L.O.22:30)<BR>月～日 ランチ：11:30～15:00(L.O.14:30),無,"{'line': '地下鉄', 'station_exit': 'A5番出口', 'walk': '1', 'note': {}, 'station': '表参道駅'}",4000,1000,"['イタリアン(イタリア料理)', 'ダイニングバー']"
464,個室居酒屋 6年4組 渋谷第一・第ニ分校,35.657883,139.700536,http://mobile.gnavi.co.jp/shop/ga13000/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/br9yr5fu0000/t_00yv.jpg,月～日 17:00～23:30(L.O.23:00),不定休日あり,"{'line': 'ＪＲ', 'station_exit': {}, 'walk': '5', 'note': {}, 'station': '渋谷駅'}",3000,{},"['居酒屋', 'バイキング・ビュッフェ']"
465,卓球＋カジュアルフレンチ Nanpeidai Lounge,35.6522,139.699436,http://mobile.gnavi.co.jp/shop/ge16600/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/2w50yfm10000/t_0000.jpg, 19:00～翌2:00,毎週日曜日,"{'line': 'ＪＲ', 'station_exit': '西口', 'walk': '8', 'note': {}, 'station': '渋谷駅'}",3800,{},"['ダイニングバー', 'パーティールーム・スペース']"
466,あずき 渋谷店,35.655589,139.701475,http://mobile.gnavi.co.jp/shop/g308807/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/8u5f5yhg0000/t_008e.jpg,金・土・祝前日 17:00～翌5:00(L.O.4:00)<BR>月～木・日・祝日 17:00～24:00(L.O.23:00),無,"{'line': '東急田園都市線', 'station_exit': {}, 'walk': '1', 'note': {}, 'station': '渋谷駅'}",3000,{},"['イタリアン(イタリア料理)', {'@attributes': {'order': '1'}}]"
467,AGARU ,35.667883,139.711092,http://mobile.gnavi.co.jp/shop/e940523/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/6ezzw8a40000/t_0088.jpg,月～金 ランチ：11:30～14:30(L.O.14:00、ドリンクL.O.14:00)<BR> ディナー：17:30～23:00(L.O.21:00、ドリンクL.O.22:30),毎週日曜日,"{'line': 'ＪＲ', 'station_exit': '竹下口', 'walk': '7', 'note': {}, 'station': '原宿駅'}",5500,1000,"['創作和食', '懐石料理']"
468,焼き鳥・串焼き UMAIMON ～美味門～ 渋谷店,35.654925,139.702572,http://mobile.gnavi.co.jp/shop/e596516/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/aec636p40000/t_004i.jpg,土・日・祝 15:00～23:30(L.O.23:00)、ランチ：12:00～16:00(※完全予約制となります。  ※前日の23時までにご予約下さい。)<BR>月～木 16:30～23:30(L.O.23:00)<BR>金 16:30～翌4:00(L.O.3:30),不定休日あり<BR>年末年始（2016年1月1日）,"{'line': 'ＪＲ', 'station_exit': {}, 'walk': '1', 'note': {}, 'station': '渋谷駅'}",2500,2000,"['居酒屋', '焼き鳥']"
469,宇田川カフェ 別館,35.658733,139.700581,http://mobile.gnavi.co.jp/shop/gaxf502/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/1w64xcpd0000/t_003q.jpg,月～木 ディナー：15:00～翌2:00<BR>金 ディナー：15:00～翌4:00<BR>日 ランチ・ディナー：12:00～翌2:00<BR>土・祝日 ランチ・ディナー：12:00～翌4:00,無,"{'line': 'ＪＲ', 'station_exit': 'ハチ公口', 'walk': '8', 'note': {}, 'station': '渋谷駅'}",2500,1000,"['イタリアン(イタリア料理)', 'アジア・エスニック料理 その他']"
470,野菜がおいしいダイニング LONGINGHOUSE 神宮前・原宿店,35.665347,139.711656,http://mobile.gnavi.co.jp/shop/ge20201/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/6nc6bwut0000/t_0000.jpg,月～金 ディナー：17:00～23:30(L.O.23:00)、ランチ：11:30～16:00(L.O.15:00)<BR>土・日・祝 11:30～23:30(L.O.23:30),※不定休日  年末年始（１月１日～１月４日）,"{'line': '地下鉄', 'station_exit': {}, 'walk': '4', 'note': {}, 'station': '明治神宮前駅'}",4000,1300,"['パーティールーム・スペース', 'イタリアン(イタリア料理)']"
471,青山Ｉｎｄｉｇｏ ,35.667681,139.722956,http://mobile.gnavi.co.jp/shop/g113700/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/m74s7xhg0000/t_00a7.jpg,月～金 ランチ：11:30～17:00(L.O.16:30)、ディナー：18:00～23:00(L.O.22:00)<BR>土・日・祝 11:30～18:00(L.O.17:00),不定休日あり<BR>※年末年始は除く[土・日・祝]営業時間以外でのパーティー・二次会なども承ります ※お昼の営業時間は各種カードの利用は出来ません。。,"{'line': '地下鉄銀座線', 'station_exit': '4番出口', 'walk': '1', 'note': {}, 'station': '外苑前駅'}",3500,1000,"['居酒屋', 'イタリアン(イタリア料理)']"
472,純系名古屋コーチン ジゴロ 渋谷本店,35.652911,139.704522,http://mobile.gnavi.co.jp/shop/e295819/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/paksubyv0000/t_007h.jpg,月～木・土・日 16:00～24:00(L.O.23:00、ドリンクL.O.23:30)<BR>金 16:00～翌5:00(L.O.4:30),不定休日あり,"{'line': 'ＪＲ', 'station_exit': {}, 'walk': '3', 'note': {}, 'station': '渋谷駅'}",3500,{},"['居酒屋', '刺身・海鮮料理']"
473,北の味紀行と地酒　北海道 渋谷駅前店,35.656992,139.705189,http://mobile.gnavi.co.jp/shop/g086283/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/4a0vgyeh0000/t_056o.jpg,月～金 ランチ：11:30～14:30(L.O.14:00)(平日のみ(土・日・祝日は除く)営業時間外の昼宴会などお気軽にお問合せ下さい！)<BR>金・土・祝前日 16:00～翌5:00(L.O.4:00)<BR>水・木 16:00～翌2:00(L.O.1:00)<BR>月・火・日・祝日 16:00～24:00(L.O.23:30),不定休日あり,"{'line': 'ＪＲ', 'station_exit': '宮益坂口', 'walk': '1', 'note': {}, 'station': '渋谷駅'}",3500,900,"['刺身・海鮮料理', '居酒屋']"
474,茶洒 金田中 ,35.662392,139.713867,http://mobile.gnavi.co.jp/shop/g080507/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/1smtf9sk0000/t_0050.jpg,月～日 ランチ：11:30～14:00<BR>月～日 ディナー：14:00～22:00(L.O.20:30),不定休日あり,"{'line': '地下鉄銀座線', 'station_exit': {}, 'walk': '1', 'note': {}, 'station': '表参道駅'}",8000,3000,"['郷土料理', 'カフェ']"
475,焼肉 いのうえ 渋谷店,35.656819,139.698514,http://mobile.gnavi.co.jp/shop/g641716/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/cw4p2svk0000/t_009f.jpg,月～木・日 17:00～24:00<BR>金・土・祝前日 17:00～翌4:00,無<BR>年末年始（2015年12月31日～2016年1月3日）,"{'line': 'ＪＲ', 'station_exit': 'ハチ公口', 'walk': '7', 'note': {}, 'station': '渋谷駅'}",5000,{},"['焼肉', 'ホルモン']"
476,焼肉 溶岩焼ダイニングbonbori 渋谷宮益坂店,35.657344,139.706097,http://mobile.gnavi.co.jp/shop/b817204/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/psvjzrw60000/t_000q.jpg, ディナー：17:00～23:00<BR>月～日 ランチ：11:30～14:00,無<BR>※年始はお休みを頂いております,"{'line': 'ＪＲ', 'station_exit': {}, 'walk': '2', 'note': {}, 'station': '渋谷駅'}",4500,850,"['ホルモン', '居酒屋']"
477,おばんざい 鉢屋 青山店,35.664936,139.720231,http://mobile.gnavi.co.jp/shop/gdvv200/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/r6z0wfsw0000/t_001h.JPG,月～金 ランチ：11:30～14:30(L.O.14:00)<BR>月～土 ディナー：18:00～24:00(L.O.23:30),毎週土・日曜日 祝日<BR>※《  10名様以上のご予約は営業いたします  》,"{'line': '地下鉄銀座線', 'station_exit': '1a出口', 'walk': '5', 'note': {}, 'station': '外苑前駅'}",3500,850,"['居酒屋', '京料理']"
478,老麻火鍋房 渋谷,35.654469,139.697497,http://mobile.gnavi.co.jp/shop/gdtu700/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/ntdrfdhc0000/t_004u.jpg, 18:00～翌5:00(L.O.4:00),年中無休<BR>※12月31日  23:00(LO)      1月1～4日  お休み     1月5日  通常営業（18:00～29:00）,"{'line': 'ＪＲ', 'station_exit': {}, 'walk': '8', 'note': {}, 'station': '渋谷駅'}",4200,{},"['火鍋', '中華料理']"
479,匠 渋谷文化村通り店,35.656956,139.699483,http://mobile.gnavi.co.jp/shop/g790001/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/mk2bgd2s0000/t_004u.jpg,月～日 17:30～翌4:00(L.O.3:30),無,"{'line': 'ＪＲ', 'station_exit': {}, 'walk': '5', 'note': {}, 'station': '渋谷駅'}",3500,{},"['居酒屋', 'そば']"
480,九州居酒屋 奏～KANADE～ ,35.656875,139.699322,http://mobile.gnavi.co.jp/shop/p730300/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/gn18narg0000/t_00v8.jpg,月～木・日・祝日 17:00～24:00(L.O.23:00、ドリンクL.O.23:30)<BR>金・土・祝前日 17:00～翌5:00(L.O.4:00、ドリンクL.O.4:00),年中無休<BR>年末年始（2015年12月31日～2016年1月4日）,"{'line': 'ＪＲ', 'station_exit': 'ハチ公口', 'walk': '6', 'note': {}, 'station': '渋谷駅'}",3200,{},"['居酒屋', '刺身・海鮮料理']"
481,獣 ２７ ,35.653942,139.69865,http://mobile.gnavi.co.jp/shop/g823404/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/ab1tb46g0000/t_0058.jpg,月～土・祝前日・祝日 11:30～翌2:00(L.O.1:00)(ランチタイム11:30～17:00  ディナータイム17:00～2:00),毎週日曜日,"{'line': 'ＪＲ', 'station_exit': 'ハチ公口', 'walk': '8', 'note': {}, 'station': '渋谷駅'}",2000,800,"['スペイン料理', 'ダイニングバー']"
482,BARすがはら 渋谷本館,35.652744,139.696806,http://mobile.gnavi.co.jp/shop/e793500/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/52cu8d4s0000/t_003w.jpg,月～日 19:00～翌4:00,無,"{'line': '京王井の頭線', 'station_exit': {}, 'walk': '3', 'note': {}, 'station': '神泉駅'}",4000,{},"['スペインバル・イタリアンバール', {'@attributes': {'order': '1'}}]"
483,テラスBBQ Chibiclo NY表参道店,35.666817,139.71135,http://mobile.gnavi.co.jp/shop/ge9n004/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/4rc2hux70000/t_0000.jpg,月～日 8:00～22:00(L.O.22:00),無,"{'line': '地下鉄千代田線', 'station_exit': {}, 'walk': '5', 'note': {}, 'station': '明治神宮前駅'}",3000,800,"['ワイン', 'イタリアン(イタリア料理)']"
484,和牛熟成肉 Wine Dining AOSHIMA 青山店,35.669881,139.726886,http://mobile.gnavi.co.jp/shop/g208904/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/rup4vv210000/t_002n.jpg,月～金 ランチ：11:00～15:00(L.O.14:30)、ディナー：17:00～23:00(L.O.22:00)<BR>土 11:30～15:00(L.O.14:30)<BR>土 17:00～21:00(L.O.20:00),毎週日曜日 祝日<BR>※(予約貸切パーティー時除く),"{'line': '地下鉄', 'station_exit': {}, 'walk': {}, 'note': {}, 'station': '青山一丁目駅'}",4000,1000,"['ステーキ', 'ワイン']"
485,ＴＵＣＡＮＯ’Ｓ ,35.656714,139.699206,http://mobile.gnavi.co.jp/shop/a423400/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/258aya030000/t_00dx.jpg,月～金 11:30～15:30((L.I.14:30))、17:30～23:00((L.I.21:30))<BR>土・日・祝 11:00～15:00((L.I.14:00))、17:00～23:00((L.I.21:30)),無,"{'line': 'ＪＲ', 'station_exit': {}, 'walk': '5', 'note': {}, 'station': '渋谷駅'}",5000,1000,"['ブラジル料理・南米料理', 'バイキング・ビュッフェ']"
486,うのさと ,35.658453,139.700228,http://mobile.gnavi.co.jp/shop/a584100/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/sbkv873r0000/t_008y.jpg,月～金 17:30～23:30(L.O.22:30)<BR>土・祝日 17:00～23:30(L.O.22:30),※日曜日  ※日曜日が祝日の場合、日曜日は営業、翌日月曜日を休ませていただきます。,"{'line': 'ＪＲ', 'station_exit': 'ハチ公', 'walk': '6', 'note': {}, 'station': '渋谷駅'}",5000,{},"['居酒屋', '創作和食']"
487,BELON 渋谷店,35.653756,139.700497,http://mobile.gnavi.co.jp/shop/g321707/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/e9dcawee0000/t_001y.jpg,月～金 ディナー：17:30～23:30(L.O.22:30)<BR>土・日・祝 ランチ：12:00～15:00(L.O.14:30)、ディナー：17:00～23:00(L.O.22:00),※年末年始,"{'line': 'ＪＲ', 'station_exit': {}, 'walk': '5', 'note': {}, 'station': '渋谷駅'}",5000,1000,"['イタリアン(イタリア料理)', 'オイスターバー']"
